img1_index,img2_index,img1_name,img2_name,inliers,overlap
4,9,frame000004.png,frame000009.png,217,0.1221159257175014
4,10,frame000004.png,frame000010.png,158,0.11033519553072625
4,11,frame000004.png,frame000011.png,122,0.08937728937728938
4,13,frame000004.png,frame000013.png,81,0.06801007556675064
4,16,frame000004.png,frame000016.png,93,0.05233539673607203
4,17,frame000004.png,frame000017.png,93,0.05233539673607203
4,18,frame000004.png,frame000018.png,107,0.060692002268859895
4,19,frame000004.png,frame000019.png,111,0.06564163217031342
4,20,frame000004.png,frame000020.png,94,0.05433526011560694
5,6,frame000005.png,frame000006.png,633,0.35661971830985917
5,7,frame000005.png,frame000007.png,405,0.22338665195808052
5,8,frame000005.png,frame000008.png,339,0.19195922989807473
5,9,frame000005.png,frame000009.png,298,0.16275259421081376
5,10,frame000005.png,frame000010.png,196,0.13687150837988826
5,11,frame000005.png,frame000011.png,145,0.10622710622710622
5,12,frame000005.png,frame000012.png,123,0.1013179571663921
5,13,frame000005.png,frame000013.png,99,0.08312342569269521
5,14,frame000005.png,frame000014.png,89,0.06384505021520803
5,15,frame000005.png,frame000015.png,86,0.05922865013774105
5,16,frame000005.png,frame000016.png,100,0.0556792873051225
5,17,frame000005.png,frame000017.png,102,0.056291390728476824
5,18,frame000005.png,frame000018.png,128,0.07260351673284175
5,19,frame000005.png,frame000019.png,99,0.058545239503252515
5,20,frame000005.png,frame000020.png,92,0.05317919075144509
6,7,frame000006.png,frame000007.png,568,0.32
6,8,frame000006.png,frame000008.png,414,0.23442808607021517
6,9,frame000006.png,frame000009.png,353,0.19887323943661972
6,10,frame000006.png,frame000010.png,232,0.16201117318435754
6,11,frame000006.png,frame000011.png,195,0.14285714285714285
6,12,frame000006.png,frame000012.png,144,0.1186161449752883
6,13,frame000006.png,frame000013.png,111,0.09319899244332494
6,14,frame000006.png,frame000014.png,105,0.07532281205164992
6,15,frame000006.png,frame000015.png,92,0.06336088154269973
6,16,frame000006.png,frame000016.png,101,0.056901408450704224
6,17,frame000006.png,frame000017.png,122,0.06873239436619719
6,18,frame000006.png,frame000018.png,148,0.08394781622234827
6,19,frame000006.png,frame000019.png,106,0.06268480189237138
6,20,frame000006.png,frame000020.png,92,0.05317919075144509
7,8,frame000007.png,frame000008.png,525,0.297281993204983
7,9,frame000007.png,frame000009.png,496,0.2735797021511307
7,10,frame000007.png,frame000010.png,354,0.24720670391061453
